#: table_doi: 10.17182/hepdata.113470.v1/t20
#: name: Fig 5b unbinned
#: description: Mass distributions for selected $D^+ D^0 \pi^+$ candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_5b_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^0 \pi^+}$ [MEV],Weight []
3924.89648,-0.7689
3925.12894,1.64455
3925.14682,0.52222
3925.18377,-0.72993
3925.1852,1.38943
3925.22669,1.04235
3925.22669,1.33038
3925.32492,-0.7381
3925.33135,0.9155
3925.36688,-0.69284
3925.51589,1.21352
3925.54688,0.32883
3925.56691,0.60729
3925.57931,-0.7689
3925.71497,-0.75498
3925.73261,1.25845
3925.80748,0.37543
3925.84419,-0.56551
3925.86684,1.58022
3925.92335,1.31896
3926.06115,1.56569
3926.121,1.67415
3926.14627,-0.5741
3926.29385,1.71342
3926.29719,1.58449
3926.35202,1.65685
3926.35679,-0.69098
3926.73993,-0.67459
3926.77259,-0.61181
3926.77879,-0.56754
3926.78308,-0.59569
3926.83768,0.60869
3926.88274,1.73033
3927.12712,1.32478
3927.31953,0.06614
3927.36936,1.28646
3927.39105,0.46547
3927.40512,-0.533
3927.40536,1.40954
3927.42491,0.06711
3927.62017,-0.16061
3927.71006,1.3495
3927.91367,-0.25115
3927.92654,1.03192
3927.92702,-0.49263
3927.93965,0.5089
3928.0417,1.3508
3928.23744,1.27967
3928.24268,-0.66616
3928.28155,1.29347
3928.41411,-2.72912
3928.42722,0.46431
3928.43747,1.69237
3928.46131,1.25488
3928.47323,1.61036
3928.64037,1.69072
3928.67422,-0.53615
3928.72644,0.89912
3928.75052,1.5919
3928.77006,1.18838
3928.80249,1.11852
3928.81608,-2.01078
3928.84874,1.66226
3929.13818,1.63806
3929.15297,1.42761
3929.1687,-0.63745
3929.17108,-0.24078
3929.18468,1.45411
3929.24786,-0.73941
3929.3015,0.06614
3929.3232,1.66696
3929.36349,1.11661
3929.37303,-2.21822
3929.50392,1.49345
3929.60787,-0.59259
3929.61335,1.63716
3929.63195,-0.29796
3929.63266,-0.72993
3929.67057,-0.38965
3929.703,0.56819
3929.70872,1.16995
3929.71706,0.25783
3929.9233,1.61957
3929.98648,1.34091
3930.0282,-0.49255
3930.10592,1.56569
3930.1405,-0.07734
3930.16696,1.46266
3930.18436,-0.73068
3930.28498,1.55111
3930.33242,1.70177
3930.38654,-0.57377
3930.3937,-0.62501
3930.42493,1.71178
3930.49288,1.57604
3930.60541,1.67035
3930.61686,1.57011
3930.69506,1.33627
3930.70841,1.34277
3930.71222,0.14765
3930.75705,-1.2829
3930.78399,1.40942
3930.82857,1.61036
3930.86314,-0.23729
3931.01835,0.55489
3931.04482,1.25011
3931.08082,1.42888
3931.27751,0.60729
3931.28753,0.85199
3931.31995,1.70533
3931.33306,0.46346
3931.41723,1.45722
3931.43988,1.15654
3931.44488,-1.0748
3931.46014,-0.7723
3931.53429,1.51231
3931.68187,1.72423
3931.77843,-0.60859
3931.80346,-0.58842
3931.83565,1.5919
3931.83756,1.46763
3931.8502,1.30876
3931.91361,1.2336
3931.91671,1.19209
3932.06716,1.69419
3932.16634,0.0315
3932.20472,-0.61223
3932.22523,-0.43819
3932.29246,-0.7724
3932.30176,1.57435
3932.32822,1.19209
3932.34062,0.12878
3932.38234,1.71176
3932.46674,-0.70922
3932.51514,-0.25277
3932.67298,1.56926
3932.68371,-0.67459
3932.71041,-0.29484
3932.75809,1.62326
3932.79123,-0.19444
3932.90687,1.12607
3932.92642,-0.51695
3932.92832,1.52869
3932.94644,1.40542
3932.98793,1.59364
3933.04014,0.98226
3933.08449,-0.56811
3933.19178,1.72533
3933.2099,-4.52621
3933.22968,1.72233
3933.28786,-2.25862
3933.33554,1.0853
3933.41827,1.23042
3933.48169,1.72747
3933.57492,-0.59196
3933.60782,1.04418
3933.69818,-0.5015
3933.79307,0.355
3933.86197,-0.58683
3933.9292,0.65593
3933.94494,1.26789
3933.9633,-0.31452
3933.97236,1.05448
3934.04603,-0.62162
3934.11827,-0.76327
3934.16762,0.54351
3934.29184,-3.81238
3934.29899,-0.35718
3934.31091,-0.57442
3934.3431,1.16873
3934.38077,-0.77275
3934.43513,1.40968
3934.45754,1.41061
3934.47876,1.07897
3934.49926,-0.50681
3934.5119,-1.79994
3934.51905,0.51469
3934.53169,1.54162
3934.66401,1.07926
3934.73816,-0.40187
3934.80492,1.5129
3934.90768,1.71823
3934.9606,1.50239
3934.9606,1.39603
3934.96466,0.38845
3935.01639,-0.5964
3935.04381,-0.76327
3935.14776,1.29244
3935.16564,0.37713
3935.1685,1.64906
3935.17446,1.61081
3935.18758,0.107
3935.2088,0.90167
3935.31179,0.50633
3935.32062,0.67431
3935.42886,1.37426
3935.43386,-0.19094
3935.44412,0.49183
3935.57548,-0.51146
3935.69326,1.11782
3935.69493,1.44429
3935.69589,1.2634
3935.74405,0.07505
