#: table_doi: 10.17182/hepdata.113470.v1/t19
#: name: Fig 5a unbinned
#: description: Mass distributions for selected $D^+ D^+$ candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_5a_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^+}$ [MEV],Weight []
3751.32155,1.5727
3751.33634,-0.11241
3751.34706,1.52004
3751.3752,-0.18076
3751.39737,0.97087
3751.40357,-0.66573
3751.41692,0.15926
3751.42312,0.18382
3751.45102,0.04442
3751.46818,0.13186
3751.4751,0.02954
3751.477,1.3555
3751.49178,0.15414
3751.49465,0.15899
3751.49727,0.15922
3751.50228,0.14661
3751.51372,1.48359
3751.51658,0.15892
3751.54567,1.43286
3751.55067,0.11224
3751.5974,-0.11322
3751.60551,-0.00666
3751.61219,-0.25681
3751.62268,0.14778
3751.64008,0.13963
3751.64342,1.58788
3751.65462,-0.06039
3751.66273,1.43005
3751.66416,-0.47823
3751.66702,-0.09407
3751.68085,0.03382
3751.68848,-0.34748
3751.69563,-0.43567
3751.70231,1.25991
3751.71852,0.10479
3751.73092,0.14603
3751.73616,0.12693
3751.7364,-0.11042
3751.73998,0.1546
3751.74832,-0.68962
3751.77026,-0.58651
3751.79219,0.09873
3751.82033,-0.58631
3751.822,0.07536
3751.83392,1.42476
3751.83821,0.15107
3751.83892,0.07455
3751.83964,-0.57897
3751.85347,0.13122
3751.85466,0.06026
3751.87588,0.15679
3751.88112,-0.55595
3751.88136,-0.37612
3751.89495,0.4026
3751.89519,0.2426
3751.90258,-0.01846
3751.90592,0.15644
3751.94597,0.02862
3751.95384,0.06398
3751.95885,0.02081
3751.95908,-0.0479
3751.96934,-0.56358
3751.9834,-0.67681
3751.99532,-0.10528
