#: table_doi: 10.17182/hepdata.113470.v1/t18
#: name: Fig 4b unbinned
#: description: $D^+ D^0$~mass distributions for selected candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_4b_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^0}$ [MEV],Weight []
3737.6647,0.93468
3737.67424,-0.60594
3737.67686,0.07253
3737.6771,0.12847
3737.67829,-0.07009
3737.68187,0.28081
3737.68282,1.04307
3737.6864,1.1621
3737.68902,-0.57815
3737.69426,0.10816
3737.69426,-0.35035
3737.70475,-0.45493
3737.70833,-0.51598
3737.7131,-0.23208
3737.71453,0.26267
3737.71882,0.09588
3737.73384,-0.35933
3737.7348,-0.10122
3737.74838,1.00012
3737.75816,0.08161
3737.76102,-0.1595
3737.76794,1.4256
3737.76936,-0.3678
3737.77032,0.10732
3737.77604,0.05
3737.78033,0.02173
3737.78939,0.95863
3737.80751,-0.20007
3737.81133,-0.03446
3737.81896,-0.45978
3737.82468,0.13075
3737.8273,0.09621
3737.82992,0.1072
3737.8366,1.31003
3737.84161,-0.59277
3737.84304,-0.12583
3737.84518,-0.55079
3737.84924,0.12346
3737.85067,1.15893
3737.85543,-0.40346
3737.86521,0.13065
3737.87069,0.11853
3737.88333,1.23125
3737.89334,0.12687
3737.90431,-0.43237
3737.90884,1.2489
3737.90979,-0.57771
3737.91266,1.47081
3737.91385,-0.65872
3737.91456,-0.40803
3737.91456,0.10851
3737.91838,0.13084
3737.92314,-0.37653
3737.92338,0.10969
3737.9365,-0.60149
3737.93769,0.10538
3737.93864,1.43067
3737.9396,1.31918
3737.94174,0.45598
3737.94484,0.10677
3737.94675,0.12916
3737.94794,1.45767
3737.94818,-0.0954
3737.95486,-0.31351
3737.9663,0.47626
3737.97131,0.10194
3737.9849,0.12119
3737.98776,-0.3098
3737.98943,0.12668
3738.00778,-0.33784
3738.01923,-0.16707
3738.0209,1.40714
3738.02686,1.32369
3738.0414,-0.32972
3738.04498,-0.47922
3738.04808,-0.61626
3738.05428,0.34301
3738.05594,0.12995
3738.06143,1.41787
3738.06286,-0.13391
3738.06739,0.13
3738.06906,-0.20214
3738.07287,1.45263
3738.07406,1.1825
3738.0743,-0.67348
3738.0805,0.07681
3738.0867,0.09529
3738.08932,-0.00084
3738.09147,0.14275
3738.09743,1.38711
3738.10029,-0.31904
3738.10744,-0.62055
3738.11436,-0.19383
3738.1165,1.4365
3738.12199,0.12994
3738.12962,1.09662
3738.1351,1.05831
3738.1382,0.10812
3738.1475,-0.32193
3738.15703,0.13093
3738.15751,-0.64792
3738.15846,-0.56356
3738.16562,0.0829
3738.16657,0.02308
3738.17968,0.65376
3738.17992,-0.31691
3738.18922,0.04756
3738.20591,-0.33173
3738.20901,-0.46033
3738.21735,0.05054
3738.22474,1.1994
3738.22665,0.13026
3738.22713,0.88332
3738.24644,0.13053
3738.27052,0.12961
3738.27815,0.62476
3738.27958,-0.58043
3738.28101,0.31671
3738.2853,0.99661
3738.29508,0.13076
3738.29842,1.46638
3738.30652,0.13042
3738.30891,0.0544
3738.32226,0.12177
3738.33799,0.09954
3738.34538,0.03851
3738.34682,0.26964
3738.35134,-0.03046
3738.3523,0.12661
3738.35516,1.38912
3738.36875,0.65005
3738.37519,0.13087
3738.37662,0.11085
3738.3883,0.1279
3738.39521,0.58258
3738.40594,0.06982
3738.41143,-0.31761
3738.4162,1.36349
3738.41762,-0.43849
3738.41929,-0.40294
3738.42812,-0.1465
3738.42907,0.11089
3738.43503,0.0863
3738.43646,-0.50625
3738.43932,1.31763
3738.44671,1.11421
3738.45768,1.2316
3738.45816,0.10345
3738.47222,-0.38136
3738.4789,-0.50281
3738.48248,0.1162
3738.48844,0.13092
3738.49368,0.13094
3738.5087,1.46051
3738.51705,-0.4874
3738.518,0.06303
3738.52682,0.01477
3738.52849,-0.12165
3738.52897,1.39273
3738.53087,-0.12669
3738.53946,0.1177
3738.5397,-0.65979
3738.54494,1.47865
3738.54923,1.29581
3738.55114,0.11862
3738.55734,0.76946
3738.57069,-0.05372
3738.57069,1.46764
3738.58428,-0.58535
3738.59596,-0.08328
3738.59763,1.09538
3738.6055,1.16961
3738.60622,0.01797
3738.60979,-0.42799
3738.61957,-0.66396
3738.62553,-0.00248
3738.62886,-0.61987
3738.64245,1.32835
3738.64484,1.4637
3738.64627,-0.17413
3738.66034,0.13094
3738.67392,0.243
3738.67917,1.0818
3738.68322,-0.50295
3738.68513,-0.50076
3738.69228,-0.63929
3738.69729,0.1168
3738.70039,-0.00039
3738.7085,-0.63552
3738.70969,1.19095
3738.71231,0.08599
