#: table_doi: 10.17182/hepdata.113470.v1/t17
#: name: Fig 4a unbinned
#: description: $D^0 D^0$~mass distributions for selected candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_4a_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^0 D^0}$ [MEV],Weight []
3736.33289,1.27005
3736.34124,1.05489
3736.35578,0.93124
3736.35674,-0.13372
3736.36842,0.03158
3736.37032,0.89964
3736.37342,0.11546
3736.37843,1.37845
3736.38129,-0.17709
3736.40132,1.2267
3736.40895,0.11401
3736.41372,-0.24953
3736.42445,-0.41044
3736.42755,1.23543
3736.42945,-0.51548
3736.43208,0.794
3736.43303,0.34753
3736.4366,1.14644
3736.4502,-0.17232
3736.45258,-0.26759
3736.4614,0.00752
3736.46402,0.1016
3736.4645,1.08472
3736.47142,0.51771
3736.47714,1.32016
3736.49073,0.11534
3736.49192,-0.53268
3736.49788,0.83431
3736.49907,0.08436
3736.50694,-0.16534
3736.50885,1.35097
3736.51028,1.30294
3736.51171,-0.43733
3736.51791,1.091
3736.52697,0.87712
3736.53245,0.08249
3736.54318,-0.21342
3736.54795,0.31559
3736.55272,-0.53742
3736.5551,0.06818
3736.55605,-0.56027
3736.55772,-0.2125
3736.57846,0.11499
3736.58299,-0.54382
3736.58442,-0.03406
3736.60803,0.11555
3736.61852,1.29145
3736.62448,-0.13265
3736.63282,-0.12426
3736.63568,-0.44826
3736.63616,0.04096
3736.65333,-0.07067
3736.6538,0.10223
3736.65595,0.23864
